rank_id,original_id,n_blocks,ranking_metric,rank,metric_value,fitness,params,flops,op_codes,width_codes
f1a7a898,f15470e5,5,Fitness,1,2295752.0,2295752.0,135546,89784576,"[14, 14, 15, 15, 7]","[2, 2, 2, 0, 2, 2, 2]"
4494f10f,c4c4983e,5,Fitness,2,2167155.0,2167155.0,128250,88156800,"[14, 7, 14, 15, 7]","[2, 2, 2, 2, 1, 1, 0]"
797a5a34,6653e9c5,5,Fitness,3,2167155.0,2167155.0,128250,88156800,"[14, 7, 14, 15, 7]","[2, 2, 2, 2, 1, 1, 0]"
7936d343,d82366ed,5,Fitness,4,2131782.0,2131782.0,107610,88266880,"[13, 14, 7, 14, 14]","[2, 2, 2, 0, 1, 0, 1]"
50598395,9e46ec8b,5,Fitness,5,2131782.0,2131782.0,107610,88266880,"[13, 14, 7, 14, 14]","[2, 2, 2, 0, 1, 0, 1]"
30b6b824,c9830f5c,5,Efficiency1 (Fitness/Params),1,27.670866952789698,1611828.0,58250,44355272,"[6, 6, 6, 7, 12]","[2, 1, 0, 2, 2, 2, 2]"
02ea09f2,9b6dc989,5,Efficiency1 (Fitness/Params),2,22.123383305657555,1891859.0,85514,63054464,"[6, 15, 4, 7, 12]","[2, 2, 1, 2, 2, 2, 2]"
b2b7b271,f9f04acb,5,Efficiency1 (Fitness/Params),3,22.017344763778606,1879973.0,85386,77998080,"[6, 6, 6, 4, 6]","[2, 2, 2, 2, 2, 2, 2]"
1bb13af0,ed9b1eeb,5,Efficiency1 (Fitness/Params),4,21.985961888120144,1862167.0,84698,62218880,"[7, 12, 7, 6, 4]","[2, 2, 1, 2, 2, 2, 2]"
209a17bc,402f69cd,5,Efficiency1 (Fitness/Params),5,21.776137975660138,1749974.0,80362,53163136,"[14, 7, 15, 4, 7]","[2, 2, 0, 2, 2, 2, 2]"
7d9452e9,c9830f5c,5,Efficiency2 (Fitness/FLOPs),1,0.03633903992292055,1611828.0,58250,44355272,"[6, 6, 6, 7, 12]","[2, 1, 0, 2, 2, 2, 2]"
463c84e6,402f69cd,5,Efficiency2 (Fitness/FLOPs),2,0.03291705741361834,1749974.0,80362,53163136,"[14, 7, 15, 4, 7]","[2, 2, 0, 2, 2, 2, 2]"
a33461c4,faf320cd,5,Efficiency2 (Fitness/FLOPs),3,0.030731951230047128,2049118.0,106954,66677120,"[5, 14, 15, 15, 7]","[0, 2, 1, 2, 1, 2, 1]"
b62526d3,fac83b69,5,Efficiency2 (Fitness/FLOPs),4,0.030382505225876044,1404512.0,64586,46227656,"[6, 7, 14, 7, 12]","[2, 1, 0, 2, 2, 2, 2]"
b5d04b64,9b6dc989,5,Efficiency2 (Fitness/FLOPs),5,0.0300035696124544,1891859.0,85514,63054464,"[6, 15, 4, 7, 12]","[2, 2, 1, 2, 2, 2, 2]"
afe6ba7d,c9830f5c,5,Efficiency3 (Fitness/Conv+FC FLOPs),1,0.04137046326516574,1611828.0,58250,44355272,"[6, 6, 6, 7, 12]","[2, 1, 0, 2, 2, 2, 2]"
bc9a9e78,402f69cd,5,Efficiency3 (Fitness/Conv+FC FLOPs),2,0.03701198444712157,1749974.0,80362,53163136,"[14, 7, 15, 4, 7]","[2, 2, 0, 2, 2, 2, 2]"
c12e1a8f,fac83b69,5,Efficiency3 (Fitness/Conv+FC FLOPs),3,0.03447931160782935,1404512.0,64586,46227656,"[6, 7, 14, 7, 12]","[2, 1, 0, 2, 2, 2, 2]"
79e910db,faf320cd,5,Efficiency3 (Fitness/Conv+FC FLOPs),4,0.03384202783890682,2049118.0,106954,66677120,"[5, 14, 15, 15, 7]","[0, 2, 1, 2, 1, 2, 1]"
c4ec8084,ed9b1eeb,5,Efficiency3 (Fitness/Conv+FC FLOPs),5,0.0330540534054479,1862167.0,84698,62218880,"[7, 12, 7, 6, 4]","[2, 2, 1, 2, 2, 2, 2]"
de500ada,625a26a4,10,Fitness,1,2355313.0,2355313.0,373946,140399360,"[6, 15, 15, 7, 15, 14, 6, 6, 6, 6]","[2, 2, 2, 2, 1, 1, 2]"
d05dda32,534c5fa6,10,Fitness,2,2353845.0,2353845.0,394682,142973696,"[6, 15, 15, 15, 15, 15, 6, 6, 6, 6]","[2, 2, 2, 2, 2, 1, 2]"
c53b7d6b,0413e762,10,Fitness,3,2296804.0,2296804.0,437114,135004672,"[7, 14, 6, 6, 14, 7, 13, 6, 14, 15]","[2, 2, 2, 2, 1, 1, 2]"
6615276e,766fd371,10,Fitness,4,2269979.0,2269979.0,434726,124602368,"[6, 6, 6, 12, 6, 7, 7, 14, 15, 6]","[2, 1, 2, 2, 0, 1, 1]"
5cf9aa42,cca73af8,10,Fitness,5,2269979.0,2269979.0,434726,124602368,"[6, 6, 6, 12, 6, 7, 7, 14, 15, 6]","[2, 1, 2, 2, 0, 1, 1]"
cfa0cc4e,d7bd1c73,10,Efficiency1 (Fitness/Params),1,10.163862800282494,1928471.0,189738,84179456,"[6, 6, 6, 4, 6, 6, 14, 7, 1, 15]","[2, 2, 2, 0, 2, 2, 2]"
84566415,0af407e6,10,Efficiency1 (Fitness/Params),2,8.898183352015995,1539973.0,173066,65407616,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14]","[2, 2, 0, 0, 2, 2, 2]"
9841d74a,c2865386,10,Efficiency1 (Fitness/Params),3,7.32861892615576,1155005.0,157602,68329088,"[13, 10, 13, 14, 13, 15, 14, 14, 9, 8]","[0, 0, 2, 0, 2, 2, 2]"
ef2b03d9,7f43542a,10,Efficiency1 (Fitness/Params),4,6.959698738091675,1395350.0,200490,83883336,"[7, 7, 14, 15, 15, 6, 7, 6, 2, 14]","[0, 1, 2, 0, 2, 2, 2]"
9853c6ad,54017f19,10,Efficiency1 (Fitness/Params),5,6.815407796247691,2103303.0,308610,111256320,"[6, 12, 15, 7, 15, 14, 6, 6, 4, 7]","[1, 2, 2, 1, 2, 2, 2]"
c63e932a,0af407e6,10,Efficiency2 (Fitness/FLOPs),1,0.02354424597893921,1539973.0,173066,65407616,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14]","[2, 2, 0, 0, 2, 2, 2]"
ca88e36c,d7bd1c73,10,Efficiency2 (Fitness/FLOPs),2,0.022909045646481725,1928471.0,189738,84179456,"[6, 6, 6, 4, 6, 6, 14, 7, 1, 15]","[2, 2, 2, 0, 2, 2, 2]"
4e5aac23,3ccf9a01,10,Efficiency2 (Fitness/FLOPs),3,0.02205968530504823,1477152.0,251978,66961608,"[6, 6, 6, 7, 12, 5, 14, 6, 7, 13]","[2, 1, 0, 1, 2, 2, 2]"
e9601182,b01a0497,10,Efficiency2 (Fitness/FLOPs),4,0.019106580170087168,2255452.0,463674,118045824,"[7, 7, 7, 6, 6, 7, 12, 15, 15, 0]","[2, 2, 2, 2, 0, 0, 1]"
38895055,54017f19,10,Efficiency2 (Fitness/FLOPs),5,0.01890502040693059,2103303.0,308610,111256320,"[6, 12, 15, 7, 15, 14, 6, 6, 4, 7]","[1, 2, 2, 1, 2, 2, 2]"
48f06ab0,0af407e6,10,Efficiency3 (Fitness/Conv+FC FLOPs),1,0.025409117056640753,1539973.0,173066,65407616,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14]","[2, 2, 0, 0, 2, 2, 2]"
94a304b9,d7bd1c73,10,Efficiency3 (Fitness/Conv+FC FLOPs),2,0.024529921535633575,1928471.0,189738,84179456,"[6, 6, 6, 4, 6, 6, 14, 7, 1, 15]","[2, 2, 2, 0, 2, 2, 2]"
8a9e8f69,3ccf9a01,10,Efficiency3 (Fitness/Conv+FC FLOPs),3,0.0237054923424214,1477152.0,251978,66961608,"[6, 6, 6, 7, 12, 5, 14, 6, 7, 13]","[2, 1, 0, 1, 2, 2, 2]"
64b47a6e,b01a0497,10,Efficiency3 (Fitness/Conv+FC FLOPs),4,0.020256470425265065,2255452.0,463674,118045824,"[7, 7, 7, 6, 6, 7, 12, 15, 15, 0]","[2, 2, 2, 2, 0, 0, 1]"
b6ed5e37,54017f19,10,Efficiency3 (Fitness/Conv+FC FLOPs),5,0.02006321587604119,2103303.0,308610,111256320,"[6, 12, 15, 7, 15, 14, 6, 6, 4, 7]","[1, 2, 2, 1, 2, 2, 2]"
7ebfeb77,3be0e15b,15,Fitness,1,2899902.0,2899902.0,1715738,232426880,"[6, 6, 15, 6, 6, 15, 3, 6, 7, 12, 6, 7, 7, 7, 7]","[2, 2, 1, 2, 2, 2, 0]"
e7471759,ea415c18,15,Fitness,2,2876880.0,2876880.0,1260250,232668160,"[15, 7, 6, 6, 6, 7, 7, 4, 15, 14, 6, 6, 7, 7, 3]","[2, 2, 2, 2, 2, 0, 0]"
