epochs,lr,mixup,label_smoothing,cutout,top1,log_file
30,0.2,0.2,0.1,True,90.97,ft_e30_lr0.2_mix0.2_ls0.1_cuton.log
30,0.2,0.2,0.1,False,91.98,ft_e30_lr0.2_mix0.2_ls0.1_cutoff.log
30,0.2,0.2,0.0,True,91.2,ft_e30_lr0.2_mix0.2_ls0_cuton.log
30,0.2,0.2,0.0,False,90.53,ft_e30_lr0.2_mix0.2_ls0_cutoff.log
30,0.2,-1.0,0.1,True,91.99,ft_e30_lr0.2_mix-1_ls0.1_cuton.log
30,0.2,-1.0,0.1,False,91.76,ft_e30_lr0.2_mix-1_ls0.1_cutoff.log
30,0.2,-1.0,0.0,True,89.43,ft_e30_lr0.2_mix-1_ls0_cuton.log
30,0.2,-1.0,0.0,False,92.69,ft_e30_lr0.2_mix-1_ls0_cutoff.log
30,0.1,0.2,0.1,True,91.03,ft_e30_lr0.1_mix0.2_ls0.1_cuton.log
30,0.1,0.2,0.1,False,91.68,ft_e30_lr0.1_mix0.2_ls0.1_cutoff.log
30,0.1,0.2,0.0,True,90.97,ft_e30_lr0.1_mix0.2_ls0_cuton.log
30,0.1,0.2,0.0,False,92.15,ft_e30_lr0.1_mix0.2_ls0_cutoff.log
30,0.1,-1.0,0.1,True,92.11,ft_e30_lr0.1_mix-1_ls0.1_cuton.log
30,0.1,-1.0,0.1,False,92.0,ft_e30_lr0.1_mix-1_ls0.1_cutoff.log
30,0.1,-1.0,0.0,True,91.78,ft_e30_lr0.1_mix-1_ls0_cuton.log
30,0.1,-1.0,0.0,False,92.24,ft_e30_lr0.1_mix-1_ls0_cutoff.log
30,0.05,0.2,0.1,True,88.9,ft_e30_lr0.05_mix0.2_ls0.1_cuton.log
30,0.05,0.2,0.1,False,89.54,ft_e30_lr0.05_mix0.2_ls0.1_cutoff.log
30,0.05,0.2,0.0,True,88.82,ft_e30_lr0.05_mix0.2_ls0_cuton.log
30,0.05,0.2,0.0,False,90.21,ft_e30_lr0.05_mix0.2_ls0_cutoff.log
30,0.05,-1.0,0.1,True,89.9,ft_e30_lr0.05_mix-1_ls0.1_cuton.log
30,0.05,-1.0,0.1,False,90.15,ft_e30_lr0.05_mix-1_ls0.1_cutoff.log
30,0.05,-1.0,0.0,True,90.65,ft_e30_lr0.05_mix-1_ls0_cuton.log
30,0.05,-1.0,0.0,False,90.66,ft_e30_lr0.05_mix-1_ls0_cutoff.log
60,0.2,0.2,0.1,True,94.68,ft_e60_lr0.2_mix0.2_ls0.1_cuton.log
60,0.2,0.2,0.1,False,94.61,ft_e60_lr0.2_mix0.2_ls0.1_cutoff.log
60,0.2,0.2,0.0,True,95.04,ft_e60_lr0.2_mix0.2_ls0_cuton.log
